2026-01-30 03:59:58.672 | OTHER | frpc[1289] | #033[0m#033[1;34m2026-01-30 03:59:58.671 [I] [client/service.go:295] try to connect to server...
2026-01-30 03:59:58.690 | OTHER | frpc[1289] | #033[0m#033[1;33m2026-01-30 03:59:58.690 [W] [client/service.go:298] connect to server error: dial tcp: lookup s1.connects.icu on 223.5.5.5:53: no such host
2026-01-30 04:00:08.692 | OTHER | frpc[1289] | #033[0m#033[1;34m2026-01-30 04:00:08.690 [I] [client/service.go:295] try to connect to server...
2026-01-30 04:00:08.710 | OTHER | frpc[1289] | #033[0m#033[1;33m2026-01-30 04:00:08.710 [W] [client/service.go:298] connect to server error: dial tcp: lookup s1.connects.icu on 223.5.5.5:53: no such host
2026-01-30 04:00:18.712 | OTHER | frpc[1289] | #033[0m#033[1;34m2026-01-30 04:00:18.711 [I] [client/service.go:295] try to connect to server...
2026-01-30 04:00:18.730 | OTHER | frpc[1289] | #033[0m#033[1;33m2026-01-30 04:00:18.730 [W] [client/service.go:298] connect to server error: dial tcp: lookup s1.connects.icu on 223.5.5.5:53: no such host
2026-01-30 04:00:28.731 | OTHER | frpc[1289] | #033[0m#033[1;34m2026-01-30 04:00:28.730 [I] [client/service.go:295] try to connect to server...
2026-01-30 04:00:38.737 | OTHER | frpc[1289] | #033[0m#033[1;33m2026-01-30 04:00:38.736 [W] [client/service.go:298] connect to server error: dial tcp: lookup s1.connects.icu: i/o timeout
2026-01-30 04:00:38.737 | OTHER | frpc[1289] | #033[0m#033[1;34m2026-01-30 04:00:38.736 [I] [client/service.go:295] try to connect to server...
2026-01-30 04:00:43.740 | OTHER | frpc[1289] | #033[0m#033[1;33m2026-01-30 04:00:43.739 [W] [client/service.go:298] connect to server error: dial tcp: lookup s1.connects.icu on 223.5.5.5:53: dial udp 223.5.5.5:53: connect: network is unreachable
2026-01-30 04:00:53.745 | OTHER | frpc[1289] | #033[0m#033[1;34m2026-01-30 04:00:53.744 [I] [client/service.go:295] try to connect to server...
2026-01-30 04:00:53.745 | OTHER | frpc[1289] | #033[0m#033[1;33m2026-01-30 04:00:53.745 [W] [client/service.go:298] connect to server error: dial tcp: lookup s1.connects.icu on 223.5.5.5:53: dial udp 223.5.5.5:53: connect: network is unreachable
